day,hour,minute,amps_avg,kw_avg,amps_min,amps_max,kw_min,kw_max,datetime
6,0,0,0.155167,35.688333,0.155167,0.155167,35.688333,35.688333,2013-12-06 00:00:00.000
6,0,1,0.1855,42.665,0.1855,0.1855,42.665,42.665,2013-12-06 00:01:00.000
6,0,2,0.172667,39.713333,0.172667,0.172667,39.713333,39.713333,2013-12-06 00:02:00.000
6,0,3,0.169167,38.908333,0.169167,0.169167,38.908333,38.908333,2013-12-06 00:03:00.000
6,0,4,0.110833,25.491667,0.110833,0.110833,25.491667,25.491667,2013-12-06 00:04:00.000
6,0,5,0.098,22.54,0.098,0.098,22.54,22.54,2013-12-06 00:05:00.000
6,0,6,0.092167,21.198333,0.092167,0.092167,21.198333,21.198333,2013-12-06 00:06:00.000
6,0,7,0.100333,23.076667,0.100333,0.100333,23.076667,23.076667,2013-12-06 00:07:00.000
6,0,8,0.112,25.76,0.112,0.112,25.76,25.76,2013-12-06 00:08:00.000
6,0,9,0.133,30.59,0.133,0.133,30.59,30.59,2013-12-06 00:09:00.000
6,0,10,0.168,38.64,0.168,0.168,38.64,38.64,2013-12-06 00:10:00.000
6,0,11,0.155167,35.688333,0.155167,0.155167,35.688333,35.688333,2013-12-06 00:11:00.000
6,0,12,0.127167,29.248333,0.127167,0.127167,29.248333,29.248333,2013-12-06 00:12:00.000
6,0,13,0.105,24.15,0.105,0.105,24.15,24.15,2013-12-06 00:13:00.000
6,0,14,0.1155,26.565,0.1155,0.1155,26.565,26.565,2013-12-06 00:14:00.000
6,0,15,0.117833,27.101667,0.117833,0.117833,27.101667,27.101667,2013-12-06 00:15:00.000
6,0,16,0.117833,27.101667,0.117833,0.117833,27.101667,27.101667,2013-12-06 00:16:00.000
6,0,17,0.158667,36.493333,0.158667,0.158667,36.493333,36.493333,2013-12-06 00:17:00.000
6,0,18,0.138833,31.931667,0.138833,0.138833,31.931667,31.931667,2013-12-06 00:18:00.000
6,0,19,0.1365,31.395,0.1365,0.1365,31.395,31.395,2013-12-06 00:19:00.000
6,0,20,0.1505,34.615,0.1505,0.1505,34.615,34.615,2013-12-06 00:20:00.000
6,0,21,0.152833,35.151667,0.152833,0.152833,35.151667,35.151667,2013-12-06 00:21:00.000
6,0,22,0.141167,32.468333,0.141167,0.141167,32.468333,32.468333,2013-12-06 00:22:00.000
6,0,23,0.102667,23.613333,0.102667,0.102667,23.613333,23.613333,2013-12-06 00:23:00.000
6,0,24,0.091,20.93,0.091,0.091,20.93,20.93,2013-12-06 00:24:00.000
6,0,25,0.110833,25.491667,0.110833,0.110833,25.491667,25.491667,2013-12-06 00:25:00.000
6,0,26,0.126,28.98,0.126,0.126,28.98,28.98,2013-12-06 00:26:00.000
6,0,27,0.147,33.81,0.147,0.147,33.81,33.81,2013-12-06 00:27:00.000
6,0,28,0.158667,36.493333,0.158667,0.158667,36.493333,36.493333,2013-12-06 00:28:00.000
6,0,29,0.1575,36.225,0.1575,0.1575,36.225,36.225,2013-12-06 00:29:00.000
6,0,30,0.130667,30.053333,0.130667,0.130667,30.053333,30.053333,2013-12-06 00:30:00.000
6,0,31,0.127167,29.248333,0.127167,0.127167,29.248333,29.248333,2013-12-06 00:31:00.000
6,0,32,0.117833,27.101667,0.117833,0.117833,27.101667,27.101667,2013-12-06 00:32:00.000
6,0,33,0.102667,23.613333,0.102667,0.102667,23.613333,23.613333,2013-12-06 00:33:00.000
6,0,34,0.138833,31.931667,0.138833,0.138833,31.931667,31.931667,2013-12-06 00:34:00.000
6,0,35,0.137667,31.663333,0.137667,0.137667,31.663333,31.663333,2013-12-06 00:35:00.000
6,0,36,0.155167,35.688333,0.155167,0.155167,35.688333,35.688333,2013-12-06 00:36:00.000
6,0,37,0.1575,36.225,0.1575,0.1575,36.225,36.225,2013-12-06 00:37:00.000
6,0,38,0.173833,39.981667,0.173833,0.173833,39.981667,39.981667,2013-12-06 00:38:00.000
6,0,39,0.1015,23.345,0.1015,0.1015,23.345,23.345,2013-12-06 00:39:00.000
6,0,40,0.099167,22.808333,0.099167,0.099167,22.808333,22.808333,2013-12-06 00:40:00.000
6,0,41,0.114333,26.296667,0.114333,0.114333,26.296667,26.296667,2013-12-06 00:41:00.000
6,0,42,0.1155,26.565,0.1155,0.1155,26.565,26.565,2013-12-06 00:42:00.000
6,0,43,0.135333,31.126667,0.135333,0.135333,31.126667,31.126667,2013-12-06 00:43:00.000
6,0,44,0.147,33.81,0.147,0.147,33.81,33.81,2013-12-06 00:44:00.000
6,0,45,0.141167,32.468333,0.141167,0.141167,32.468333,32.468333,2013-12-06 00:45:00.000
6,0,46,0.128333,29.516667,0.128333,0.128333,29.516667,29.516667,2013-12-06 00:46:00.000
6,0,47,0.124833,28.711667,0.124833,0.124833,28.711667,28.711667,2013-12-06 00:47:00.000
6,0,48,0.1155,26.565,0.1155,0.1155,26.565,26.565,2013-12-06 00:48:00.000
6,0,49,0.124833,28.711667,0.124833,0.124833,28.711667,28.711667,2013-12-06 00:49:00.000
6,0,50,0.117833,27.101667,0.117833,0.117833,27.101667,27.101667,2013-12-06 00:50:00.000
6,0,51,0.156333,35.956667,0.156333,0.156333,35.956667,35.956667,2013-12-06 00:51:00.000
6,0,52,0.189,43.47,0.189,0.189,43.47,43.47,2013-12-06 00:52:00.000
6,0,53,0.154,35.42,0.154,0.154,35.42,35.42,2013-12-06 00:53:00.000
6,0,54,0.117833,27.101667,0.117833,0.117833,27.101667,27.101667,2013-12-06 00:54:00.000
6,0,55,0.1365,31.395,0.1365,0.1365,31.395,31.395,2013-12-06 00:55:00.000
6,0,56,0.1435,33.005,0.1435,0.1435,33.005,33.005,2013-12-06 00:56:00.000
6,0,57,0.135333,31.126667,0.135333,0.135333,31.126667,31.126667,2013-12-06 00:57:00.000
6,0,58,0.133,30.59,0.133,0.133,30.59,30.59,2013-12-06 00:58:00.000
6,0,59,0.123667,28.443333,0.123667,0.123667,28.443333,28.443333,2013-12-06 00:59:00.000
6,1,0,0.117833,27.101667,0.117833,0.117833,27.101667,27.101667,2013-12-06 01:00:00.000
6,1,1,0.114333,26.296667,0.114333,0.114333,26.296667,26.296667,2013-12-06 01:01:00.000
6,1,2,0.120167,27.638333,0.120167,0.120167,27.638333,27.638333,2013-12-06 01:02:00.000
6,1,3,0.135333,31.126667,0.135333,0.135333,31.126667,31.126667,2013-12-06 01:03:00.000
6,1,4,0.113167,26.028333,0.113167,0.113167,26.028333,26.028333,2013-12-06 01:04:00.000
6,1,5,0.109667,25.223333,0.109667,0.109667,25.223333,25.223333,2013-12-06 01:05:00.000
6,1,6,0.141167,32.468333,0.141167,0.141167,32.468333,32.468333,2013-12-06 01:06:00.000
6,1,7,0.142333,32.736667,0.142333,0.142333,32.736667,32.736667,2013-12-06 01:07:00.000
6,1,8,0.142333,32.736667,0.142333,0.142333,32.736667,32.736667,2013-12-06 01:08:00.000
6,1,9,0.170333,39.176667,0.170333,0.170333,39.176667,39.176667,2013-12-06 01:09:00.000
6,1,10,0.161,37.03,0.161,0.161,37.03,37.03,2013-12-06 01:10:00.000
6,1,11,0.161,37.03,0.161,0.161,37.03,37.03,2013-12-06 01:11:00.000
6,1,12,0.166833,38.371667,0.166833,0.166833,38.371667,38.371667,2013-12-06 01:12:00.000
6,1,13,0.131833,30.321667,0.131833,0.131833,30.321667,30.321667,2013-12-06 01:13:00.000
6,1,14,0.103833,23.881667,0.103833,0.103833,23.881667,23.881667,2013-12-06 01:14:00.000
6,1,15,0.1155,26.565,0.1155,0.1155,26.565,26.565,2013-12-06 01:15:00.000
6,1,16,0.124833,28.711667,0.124833,0.124833,28.711667,28.711667,2013-12-06 01:16:00.000
6,1,17,0.158667,36.493333,0.158667,0.158667,36.493333,36.493333,2013-12-06 01:17:00.000
6,1,18,0.173833,39.981667,0.173833,0.173833,39.981667,39.981667,2013-12-06 01:18:00.000
6,1,19,0.163333,37.566667,0.163333,0.163333,37.566667,37.566667,2013-12-06 01:19:00.000
6,1,20,0.138833,31.931667,0.138833,0.138833,31.931667,31.931667,2013-12-06 01:20:00.000
6,1,21,0.166833,38.371667,0.166833,0.166833,38.371667,38.371667,2013-12-06 01:21:00.000
6,1,22,0.133,30.59,0.133,0.133,30.59,30.59,2013-12-06 01:22:00.000
6,1,23,0.14,32.2,0.14,0.14,32.2,32.2,2013-12-06 01:23:00.000
6,1,24,0.135333,31.126667,0.135333,0.135333,31.126667,31.126667,2013-12-06 01:24:00.000
6,1,25,0.137667,31.663333,0.137667,0.137667,31.663333,31.663333,2013-12-06 01:25:00.000
6,1,26,0.1505,34.615,0.1505,0.1505,34.615,34.615,2013-12-06 01:26:00.000
6,1,27,0.154,35.42,0.154,0.154,35.42,35.42,2013-12-06 01:27:00.000
6,1,28,0.161,37.03,0.161,0.161,37.03,37.03,2013-12-06 01:28:00.000
6,1,29,0.1365,31.395,0.1365,0.1365,31.395,31.395,2013-12-06 01:29:00.000
